playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
baderha01,2023,1,NYA,AL,84,84,288,40,69,11,2,7,37,17,2,14,56,0,3,1,4,6,
barneau01,2023,1,LAN,NL,59,59,178,15,32,5,0,2,11,2,1,17,43,0,2,1,2,7,
bauerja01,2023,1,NYA,AL,84,84,242,28,49,15,0,12,30,3,2,27,95,0,0,0,3,3,
bettsmo01,2023,1,LAN,NL,152,152,584,126,179,40,1,39,107,14,3,96,107,3,8,0,5,5,
cabaljo01,2023,1,SEA,AL,104,104,231,37,51,9,1,4,26,26,3,28,66,0,17,0,4,0,
cabreos01,2023,1,NYA,AL,115,115,298,35,63,11,0,5,29,8,0,25,72,1,2,3,2,6,
calhowi01,2023,1,NYA,AL,44,44,134,16,32,7,0,5,16,0,0,14,20,1,0,0,1,2,
canzodo01,2023,2,SEA,AL,44,44,135,19,29,11,0,5,13,1,0,6,24,0,0,0,0,4,
crawfjp01,2023,1,SEA,AL,145,145,534,94,142,35,0,19,65,2,0,94,125,1,5,3,2,7,
donaljo02,2023,1,NYA,AL,34,33,106,13,15,1,0,10,15,0,0,12,32,0,0,0,2,2,
fordmi01,2023,1,SEA,AL,84,83,219,32,50,6,0,16,34,0,0,24,81,0,7,0,1,4,
francty01,2023,1,SEA,AL,158,158,587,79,147,32,0,12,58,1,0,43,117,0,34,0,1,25,
freemfr01,2023,1,LAN,NL,161,161,637,131,211,59,2,29,102,23,1,72,121,12,16,0,5,14,
hernaen02,2023,2,LAN,NL,54,54,168,19,44,12,0,5,30,1,0,12,29,1,1,0,4,6,
hernate01,2023,1,SEA,AL,160,160,625,70,161,29,2,26,93,7,2,38,211,2,8,0,7,6,
heywaja01,2023,1,LAN,NL,124,124,334,56,90,23,0,15,40,2,2,34,64,1,3,0,3,7,
higasky01,2023,1,NYA,AL,92,92,242,24,57,13,0,10,34,0,0,14,74,0,0,1,3,5,
judgeaa01,2023,1,NYA,AL,106,106,367,79,98,16,0,37,75,3,1,88,130,9,0,0,3,5,
kelenja01,2023,1,SEA,AL,105,105,372,44,94,25,2,11,49,13,5,41,132,4,1,0,2,6,
kineris01,2023,1,NYA,AL,115,113,326,39,79,12,1,6,37,14,5,28,70,0,3,1,3,12,
lemahdj01,2023,1,NYA,AL,136,136,497,55,121,22,3,15,44,2,2,60,125,2,3,0,2,14,
martijd02,2023,1,LAN,NL,113,113,432,61,117,27,2,33,103,1,0,34,149,1,2,0,9,11,
mckinbi01,2023,1,NYA,AL,48,48,128,19,29,3,1,6,14,1,0,17,39,1,1,0,1,1,
mooredy01,2023,1,SEA,AL,67,67,145,18,30,9,1,7,19,7,3,16,56,0,4,0,0,1,
muncyma01,2023,1,LAN,NL,135,135,482,95,102,17,1,36,105,1,2,85,153,4,6,0,6,8,
murphto04,2023,1,SEA,AL,47,47,145,19,42,12,0,8,17,0,0,10,44,0,1,0,2,4,
outmaja01,2023,1,LAN,NL,151,151,483,86,120,16,3,23,70,16,3,68,181,1,12,0,4,4,
peralda01,2023,1,LAN,NL,133,133,394,47,102,25,1,7,55,4,1,20,72,1,2,0,6,8,
perazos02,2023,1,NYA,AL,52,52,173,15,33,8,0,2,14,4,3,13,50,0,5,0,0,1,
polloaj01,2023,1,SEA,AL,49,49,127,15,22,4,0,5,15,0,1,9,30,0,0,0,2,1,
raleica01,2023,1,SEA,AL,145,145,513,78,119,23,1,30,75,0,0,54,158,1,1,0,1,6,
rizzoan01,2023,1,NYA,AL,99,99,373,45,91,14,0,12,41,0,3,35,97,1,12,0,1,10,
rodriju01,2023,1,SEA,AL,155,155,654,102,180,37,2,32,103,37,10,47,175,6,11,0,2,14,
rojasjo01,2023,2,SEA,AL,46,46,125,24,34,4,0,4,14,6,0,9,30,0,0,0,0,1,
rojasmi02,2023,1,LAN,NL,125,124,385,49,91,16,1,5,31,8,3,26,48,0,5,2,5,12,
rosaram01,2023,2,LAN,NL,48,48,125,19,32,6,2,3,18,6,2,7,22,0,1,0,0,4,
smithwi05,2023,1,LAN,NL,126,126,464,80,121,21,2,19,76,3,0,63,89,2,15,0,12,8,
stantmi03,2023,1,NYA,AL,101,101,371,43,71,13,0,24,60,0,0,41,124,3,2,0,1,11,
suareeu01,2023,1,SEA,AL,162,162,598,68,139,29,0,22,96,2,1,70,214,0,15,0,11,10,
tayloch03,2023,1,LAN,NL,117,117,338,51,80,15,1,15,56,16,3,41,125,2,4,0,1,2,
torregl01,2023,1,NYA,AL,158,158,596,90,163,28,2,25,68,13,6,67,98,0,3,0,6,19,
trevijo01,2023,1,NYA,AL,55,55,157,15,33,4,0,4,15,0,0,8,22,0,2,1,0,6,
vargami01,2023,1,LAN,NL,81,81,256,36,50,15,4,7,32,3,2,38,61,1,4,1,4,1,
volpean01,2023,1,NYA,AL,159,159,541,62,113,23,4,21,60,24,5,52,167,0,5,1,2,10,
wongko01,2023,1,SEA,AL,67,67,194,21,32,6,0,2,19,1,1,16,46,0,4,0,2,0,
