playerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
martida01,2024,WAS,NL,1,162,71,91,4,N
roberda07,2024,LAN,NL,1,162,98,64,1,N
francte01,2023,CLE,AL,1,162,76,86,3,N
martida01,2023,WAS,NL,1,162,71,91,5,N
roberda07,2023,LAN,NL,1,162,100,62,1,N
francte01,2022,CLE,AL,1,162,92,70,1,N
martida01,2022,WAS,NL,1,162,55,107,5,N
roberda07,2022,LAN,NL,1,162,111,51,1,N
francte01,2021,CLE,AL,1,97,49,48,2,N
martida01,2021,WAS,NL,1,162,65,97,5,N
roberda07,2021,LAN,NL,1,162,106,56,2,N
francte01,2020,CLE,AL,1,53,30,23,2,N
martida01,2020,WAS,NL,1,60,26,34,5,N
roberda07,2020,LAN,NL,1,60,43,17,1,N
francte01,2019,CLE,AL,1,162,93,69,2,N
martida01,2019,WAS,NL,1,162,93,69,2,N
roberda07,2019,LAN,NL,1,162,106,56,1,N
francte01,2018,CLE,AL,1,162,91,71,1,N
martida01,2018,WAS,NL,1,162,82,80,2,N
roberda07,2018,LAN,NL,1,163,92,71,1,N
francte01,2017,CLE,AL,1,154,98,56,1,N
roberda07,2017,LAN,NL,1,162,104,58,1,N
francte01,2016,CLE,AL,1,161,94,67,1,N
roberda07,2016,LAN,NL,1,162,91,71,1,N
francte01,2015,CLE,AL,1,161,81,80,3,N
roberda07,2015,SDN,NL,2,1,0,1,4,N
francte01,2014,CLE,AL,1,162,85,77,3,N
francte01,2013,CLE,AL,1,162,92,70,2,N
actama99,2012,CLE,AL,1,156,65,91,4,N
actama99,2011,CLE,AL,1,162,80,82,2,N
francte01,2011,BOS,AL,1,162,90,72,3,N
actama99,2010,CLE,AL,1,162,69,93,4,N
francte01,2010,BOS,AL,1,162,89,73,3,N
actama99,2009,WAS,NL,1,87,26,61,5,N
francte01,2009,BOS,AL,1,162,95,67,2,N
actama99,2008,WAS,NL,1,161,59,102,5,N
francte01,2008,BOS,AL,1,160,95,65,2,N
actama99,2007,WAS,NL,1,162,73,89,4,N
francte01,2007,BOS,AL,1,162,96,66,1,N
francte01,2006,BOS,AL,1,162,86,76,3,N
francte01,2005,BOS,AL,1,154,90,64,2,N
francte01,2004,BOS,AL,1,162,98,64,2,N
francte01,2000,PHI,NL,1,162,65,97,5,N
francte01,1999,PHI,NL,1,162,77,85,3,N
francte01,1998,PHI,NL,1,162,75,87,3,N
francte01,1997,PHI,NL,1,162,68,94,5,N
