ID,parkalias,parkkey,parkname,city,state,country
258,Edison Field; Anaheim Stadium,ANA01,Angel Stadium of Anaheim,Anaheim,CA,US
263,SunTrust Park,ATL03,Truist Park,Atlanta,GA,US
274,Camden Yards,BAL12,Oriole Park at Camden Yards,Baltimore,MD,US
281,,BOS07,Fenway Park,Boston,MA,US
298,Weeghman Park; Cubs Park,CHI11,Wrigley Field,Chicago,IL,US
299,U.S. Cellular Field; White Sox Park; Comiskey Park II; Guaranteed Rate Field,CHI12,Rate Field,Chicago,IL,US
308,,CIN09,Great American Ballpark,Cincinnati,OH,US
316,Jacobs Field,CLE08,Progressive Field,Cleveland,OH,US
326,,DEN02,Coors Field,Denver,CO,US
331,,DET05,Comerica Park,Detroit,MI,US
346,The Ballpark at Union Station; Enron Field; Astros Field; Minute Maid Park,HOU03,Daikin Park,Houston,TX,US
364,Royals Stadium,KAN06,Kauffman Stadium,Kansas City,MO,US
371,Chavez Ravine,LOS03,Dodger Stadium,Los Angeles,CA,US
379,Marlins Park,MIA02,loanDepot park,Miami,FL,US
386,Miller Park,MIL06,American Family Field,Milwaukee,WI,US
390,,MIN04,Target Field,Minneapolis,MN,US
417,,NYC20,Citi Field,New York,NY,US
418,,NYC21,Yankee Stadium II,New York,NY,US
419,Oakland Coliseum; Network Associates Coliseum; McAfee Coliseum; Overstock.com Coliseum; O.co Coliseum; RingCentral Coliseum,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,US
434,,PHI13,Citizens Bank Park,Philadelphia,PA,US
436,Bank One Ballpark,PHO01,Chase Field,Phoenix,AZ,US
444,,PIT08,PNC Park,Pittsburgh,PA,US
455,,SAN02,Petco Park,San Diego,CA,US
458,Safeco Field,SEA03,T-Mobile Park,Seattle,WA,US
461,Pacific Bell Park; SBC Park,SFO03,AT&T Park,San Francisco,CA,US
473,,STL10,Busch Stadium III,St. Louis,MO,US
474,Florida Suncoast Dome; ThunderDome,STP01,Tropicana Field,St. Petersburg,FL,US
486,Ontario Stadium Project; SkyDome; Pan-Am Dome; Pan-Am Ceremonies Venue,TOR02,Rogers Centre,Toronto,ON,CA
500,,WAS11,Nationals Park,Washington,DC,US
515,,ARL03,Globe Life Field,Arlington,TX,US
